"X1","X2","S","X3","X4","X5","X6","X7","X8","X9","T","Y"
0,0,1,1,0.5,0.666666666666667,1,0.428571428571429,1,0.333333333333333,0,0.692307692307692
0,0.6,1,1,0.5,1,1,0,0,1,1,0.805860805860806
0,0.4,1,1,0.75,1,1,0.571428571428571,1,0.333333333333333,0,0.893772893772894
1,0.2,1,0,0.5,0.333333333333333,0.5,0.142857142857143,0,1,0,0.424908424908425
1,0.6,1,1,0.5,1,1,0,1,1,0,0.73992673992674
0,0.4,1,1,0.5,0.666666666666667,1,0.142857142857143,1,1,0,0.765567765567766
0,0.4,1,1,1,0.333333333333333,0.5,0.142857142857143,0.5,1,1,0.879120879120879
1,0.4,1,0,0.5,1,1,0.142857142857143,0.5,0.666666666666667,0,0.351648351648352
1,0.8,0,0,0.75,1,0.5,0.428571428571429,0.5,0.666666666666667,1,0.622710622710623
1,0.6,1,1,0,1,1,0.142857142857143,0.5,1,0,0.501831501831502
1,0.8,1,1,0.25,1,1,0.142857142857143,1,1,0,0.395604395604396
0,0.4,0,1,0.5,0.666666666666667,0.5,0.142857142857143,0.5,1,0,0.714285714285714
1,0.2,1,1,0.75,1,1,0.142857142857143,0.5,0.666666666666667,1,0.721611721611722
0,0.2,1,1,0.25,1,1,0.285714285714286,0.5,0.333333333333333,0,0.483516483516484
0,0.6,0,1,0.5,1,1,0,0.5,0,0,0.714285714285714
1,0.6,0,1,0.5,1,1,0,1,1,1,0.864468864468865
0,0.4,0,0,0.25,1,1,0.142857142857143,1,1,0,0.186813186813187
1,0.6,1,0,0.75,1,0.5,0.142857142857143,0.5,1,1,0.395604395604396
0,0.6,1,0,0.5,0.333333333333333,1,0.428571428571429,0.5,0.333333333333333,0,0.501831501831502
1,0.8,0,1,0.5,1,1,0.714285714285714,1,1,0,0.626373626373626
0,0.4,1,0,0.5,1,0.5,0.285714285714286,1,1,1,0.67032967032967
1,0.8,1,1,0.5,0.333333333333333,1,0.714285714285714,0,1,0,0.435897435897436
0,0.6,0,1,0.25,0.333333333333333,0.5,0.428571428571429,0,1,0,0.663003663003663
1,0.8,1,0,0.5,1,1,0.285714285714286,1,1,1,0.725274725274725
1,0.2,1,0,0.5,0.666666666666667,1,0.142857142857143,1,1,0,0.732600732600733
1,0.4,1,1,0.5,1,1,0.714285714285714,1,0.333333333333333,0,0.531135531135531
0,0.6,1,1,0.5,1,1,0.571428571428571,1,0.666666666666667,0,0.688644688644689
1,0.6,0,1,0.5,1,0.5,0.142857142857143,0.5,1,0,0.652014652014652
0,0.8,1,1,0.75,1,1,0,0.5,0.333333333333333,0,0.67032967032967
0,0.4,1,1,0.75,1,1,0.714285714285714,0,1,0,0.593406593406593
0,1,1,0,0.25,1,1,0.142857142857143,1,1,0,0.615384615384615
1,0,1,1,0.5,1,0.5,0.285714285714286,0.5,1,0,0.340659340659341
1,1,1,1,0.25,1,1,0,1,0,0,0.875457875457875
0,0.8,1,1,0.5,0.666666666666667,0.5,0.285714285714286,0.5,1,0,0.791208791208791
0,0.8,0,0,0.5,0.666666666666667,1,0.142857142857143,0.5,1,0,0.542124542124542
0,0.8,1,0,0.5,0.666666666666667,0.5,0.142857142857143,1,1,1,0.846153846153846
1,0.4,1,0,0.75,0.666666666666667,1,0.714285714285714,1,1,0,0.531135531135531
1,0.6,1,0,0.5,0.333333333333333,1,0,1,1,0,0.505494505494505
0,0.6,1,1,0.25,0.666666666666667,0.5,0.142857142857143,0,1,0,0.641025641025641
1,0.4,1,0,0.5,0.666666666666667,1,0.428571428571429,1,1,1,0.604395604395604
0,1,1,0,0.5,1,1,0.714285714285714,1,0.333333333333333,0,0.468864468864469
1,0.4,1,1,0.75,1,1,0.428571428571429,1,0.333333333333333,0,0.527472527472527
1,0.6,0,1,0.5,1,0,0.428571428571429,0,1,1,0.80952380952381
1,1,1,1,0.5,0,0.5,0.428571428571429,1,0.666666666666667,0,0.476190476190476
1,0,1,0,0.5,0.666666666666667,0.5,0.285714285714286,0.5,0.333333333333333,1,0.677655677655678
1,0.6,1,1,0.25,0.666666666666667,1,0.428571428571429,1,0.666666666666667,0,0.428571428571429
1,0.8,0,1,0.75,1,1,0.285714285714286,1,1,0,0.783882783882784
0,0.6,0,0,0.25,1,1,0.285714285714286,0.5,1,0,0.32967032967033
0,1,1,1,0.5,1,1,0.428571428571429,1,0.666666666666667,1,0.842490842490842
1,0.8,1,1,0.75,1,0.5,0.285714285714286,0.5,1,0,0.472527472527473
1,0.8,1,1,0.5,0.666666666666667,0.5,0.142857142857143,0.5,0.666666666666667,1,0.564102564102564
0,0.6,0,0,0.75,0.666666666666667,1,0.428571428571429,1,0.666666666666667,0,0
1,0.2,1,0,0.5,1,1,0.714285714285714,0.5,1,0,0.553113553113553
0,0.8,0,1,0.5,1,1,0,1,1,0,0.545787545787546
1,0.4,0,1,0.5,0.333333333333333,1,0.142857142857143,0.5,0.333333333333333,0,0.571428571428571
1,0.8,0,0,0.5,1,1,0.571428571428571,1,1,0,0.336996336996337
0,0.6,1,1,0.5,0.666666666666667,0.5,0.428571428571429,1,1,0,0.666666666666667
1,0.4,1,0,0.25,0.666666666666667,0.5,0.428571428571429,1,0,0,0.549450549450549
0,0.6,1,1,0.75,1,1,0.428571428571429,1,1,0,0.487179487179487
1,0.8,1,1,0.25,1,1,0.428571428571429,0.5,0.666666666666667,1,0.571428571428571
0,0.2,1,0,0.75,0.666666666666667,1,0.142857142857143,0.5,1,0,0.421245421245421
1,0.6,0,0,0.25,0.333333333333333,1,0.428571428571429,1,1,0,0.52014652014652
1,0.6,0,1,0.5,1,1,0.285714285714286,0.5,0.333333333333333,1,0.395604395604396
1,1,0,1,0,1,0.5,0.714285714285714,1,1,0,0.172161172161172
0,0.8,0,1,0.25,1,1,0.285714285714286,1,0.666666666666667,1,0.67032967032967
0,1,1,1,0.25,0.333333333333333,1,0.142857142857143,1,1,0,0.619047619047619
0,0.4,1,1,0.5,0.666666666666667,1,0,0.5,0.666666666666667,0,0.454212454212454
1,0.4,0,0,0.5,1,1,0,0.5,0,0,0.41025641025641
1,1,1,1,0.5,0.666666666666667,1,0,0.5,1,0,0.641025641025641
1,0.8,0,0,0.5,0.333333333333333,0,0.428571428571429,0.5,1,0,0.307692307692308
0,0.6,1,1,0.25,1,1,0,0.5,1,0,0.761904761904762
0,0.8,1,1,0.75,1,1,0,0.5,1,0,0.692307692307692
0,0.2,1,1,0.25,0.666666666666667,1,0.428571428571429,1,0.333333333333333,0,0.608058608058608
1,0.6,0,0,0.25,0.666666666666667,0.5,0.571428571428571,0,1,0,0.256410256410256
1,0.6,0,1,0.25,1,0.5,0.142857142857143,0,0.333333333333333,0,0.684981684981685
1,0.6,1,0,0.5,0.666666666666667,0.5,0.428571428571429,0.5,0.666666666666667,1,0.424908424908425
0,0.4,1,1,0.5,0.666666666666667,1,0.571428571428571,0.5,1,0,0.860805860805861
1,0.4,0,1,0.5,0.666666666666667,1,0.714285714285714,1,1,1,0.593406593406593
0,0,1,1,0.5,0.333333333333333,1,0,1,0.333333333333333,1,0.611721611721612
0,0.8,1,0,0.75,0.666666666666667,1,0.285714285714286,0,0.666666666666667,0,0.611721611721612
0,0.8,1,1,0.5,0.666666666666667,1,0.428571428571429,1,0.333333333333333,0,0.604395604395604
1,0.4,1,1,0.5,1,0.5,1,1,1,0,0.681318681318681
1,0.8,1,1,0.75,1,0.5,0.142857142857143,0.5,1,1,0.692307692307692
0,0.8,1,1,0.5,0.666666666666667,1,0.428571428571429,1,1,0,0.89010989010989
1,0.4,0,1,0.5,0.666666666666667,0.5,0.428571428571429,1,1,1,0.461538461538462
1,0,1,1,0.5,0.666666666666667,1,0.142857142857143,1,0.666666666666667,1,0.934065934065934
0,0.6,1,1,0.5,1,1,0,1,1,0,0.622710622710623
0,0.8,1,1,0.5,1,0.5,0.428571428571429,0.5,1,0,0.952380952380952
1,1,1,1,0.75,1,1,0,1,1,1,0.608058608058608
0,0.4,1,0,0.5,1,1,0.285714285714286,1,1,0,0.626373626373626
0,0.4,0,1,0.75,0.666666666666667,0.5,0.428571428571429,1,1,0,0.666666666666667
0,0.8,1,0,0.75,1,1,0.571428571428571,1,0.666666666666667,1,0.882783882783883
1,0.6,0,1,0.75,0.666666666666667,0.5,0.857142857142857,0,1,0,0.516483516483517
1,0.2,1,1,0.5,1,1,0,1,1,0,0.465201465201465
0,0.8,1,1,0.5,0.333333333333333,1,0.142857142857143,1,0.333333333333333,0,0.465201465201465
0,1,1,1,0.5,0.666666666666667,1,0.428571428571429,1,0.333333333333333,1,0.989010989010989
1,0.6,0,1,0.5,1,1,0.571428571428571,0.5,1,0,0.761904761904762
0,0.4,1,0,0.75,0.333333333333333,0.5,0.142857142857143,1,1,0,0.758241758241758
0,0.8,1,1,0.5,0.333333333333333,0.5,0.285714285714286,0.5,1,0,0.750915750915751
0,0.8,0,1,0.75,0.666666666666667,1,0,0.5,0.666666666666667,0,0.564102564102564
0,0.6,1,1,0.25,1,0.5,0.428571428571429,1,1,0,0.593406593406593
0,0.6,1,1,0.5,0.333333333333333,1,0.142857142857143,1,1,1,0.824175824175824
1,0.4,1,1,0.5,1,1,0.428571428571429,1,0.333333333333333,1,0.871794871794872
0,0.6,1,1,0.75,0.666666666666667,1,0.142857142857143,0,1,1,0.923076923076923
1,0.8,0,0,0.5,1,0.5,0.428571428571429,0.5,0,0,0.545787545787546
1,1,1,1,0.75,0.666666666666667,0.5,0.428571428571429,1,0.333333333333333,0,0.758241758241758
0,0.4,0,1,0.75,0.333333333333333,1,0.285714285714286,1,0.666666666666667,0,0.871794871794872
1,0.4,1,1,0.5,0,0.5,0.428571428571429,0.5,1,0,0.659340659340659
1,0.8,1,1,0.5,0.666666666666667,0.5,0.428571428571429,1,0.333333333333333,1,0.684981684981685
1,0.8,1,1,0.75,0.333333333333333,1,0.285714285714286,0.5,0.333333333333333,0,0.743589743589744
0,0.2,1,1,0,0.666666666666667,1,0,1,1,0,0.461538461538462
1,0.8,1,1,0.75,1,0.5,0.142857142857143,1,0.333333333333333,0,0.827838827838828
1,0.6,0,0,0.75,0.666666666666667,1,0.142857142857143,0.5,0.333333333333333,1,0.36996336996337
1,0,1,0,0.5,0.666666666666667,1,0.285714285714286,1,1,1,0.761904761904762
0,0,1,1,0.5,0.333333333333333,0.5,0.857142857142857,0,0.333333333333333,1,0.736263736263736
1,0.8,1,0,0.5,1,1,0.142857142857143,0.5,0.666666666666667,1,0.750915750915751
1,0.6,1,1,0.5,1,1,0.142857142857143,0,0.333333333333333,0,0.476190476190476
1,0.4,0,1,0.25,1,1,0.142857142857143,0.5,1,1,0.435897435897436
1,1,0,1,0.25,1,1,0,1,0.333333333333333,0,0.542124542124542
0,0.6,1,1,0.5,1,1,0.142857142857143,0.5,1,1,0.604395604395604
1,0.8,1,1,0.5,1,1,0,0.5,0.666666666666667,1,0.648351648351648
0,0.8,0,1,0.5,1,0.5,0.142857142857143,1,1,0,0.703296703296703
0,0.6,1,0,0.5,0.666666666666667,0.5,0.285714285714286,0.5,1,0,0.586080586080586
0,1,1,0,0.75,0.666666666666667,0,0.142857142857143,0.5,0.333333333333333,1,0.446886446886447
1,0.2,0,1,0.75,1,0.5,0.142857142857143,1,1,0,0.43956043956044
1,0.8,1,1,0.25,1,1,0.428571428571429,0.5,0.666666666666667,0,0.791208791208791
0,0.6,1,0,0.75,0.666666666666667,1,0.142857142857143,1,0.333333333333333,0,0.238095238095238
0,0.8,1,1,0.5,1,1,0.142857142857143,0.5,0.333333333333333,1,0.695970695970696
1,1,1,0,0.5,0.666666666666667,0.5,0.428571428571429,0.5,1,1,0.981684981684982
1,0.2,0,1,0.5,1,0.5,0.285714285714286,0.5,1,1,0.626373626373626
0,0.4,1,1,0.75,1,1,0.285714285714286,1,0.333333333333333,1,0.593406593406593
