"method","coverage","length","KS_lo","KS_up","type","exprid"
"quantBoosting",0.3226,0.10568,0.289410204666755,0.103830333906753,"Inexact",1
"quantBoosting",0.3162,0.1058,0.35316541621022,0.0981357667335355,"Inexact",1
"quantBoosting",0.3228,0.10316,0.44479666280283,0.0837808269299243,"Inexact",1
"quantBoosting",0.3208,0.1022,0.0750350533376956,0.115721191767014,"Inexact",1
"quantBoosting",0.3164,0.10548,0.414588875132817,0.0992779530827563,"Inexact",1
"quantBoosting",0.3168,0.10012,0.206262089360591,0.217618922140529,"Inexact",1
"quantBoosting",0.3102,0.08952,0.163014964691298,0.376794490071503,"Inexact",1
"quantBoosting",0.3056,0.0908,0.0511092784750028,0.0544663415490929,"Inexact",1
"quantBoosting",0.3264,0.10584,0.0517261533665835,0.195294409066619,"Inexact",1
"quantBoosting",0.3102,0.09688,0.157386003453778,0.148416836076683,"Inexact",1
"quantBoosting",0.308,0.09352,0.149960090605113,0.175329522165894,"Inexact",1
"quantBoosting",0.3152,0.105,0.21167047108641,0.146301993736492,"Inexact",1
"quantBoosting",0.3096,0.10308,0.0791650125711261,0.0570469983679591,"Inexact",1
"quantBoosting",0.3214,0.10152,0.141240636386267,0.0725844225402918,"Inexact",1
"quantBoosting",0.3242,0.09628,0.420056117780816,0.111277688571995,"Inexact",1
"quantBoosting",0.3174,0.1008,0.0697513511865444,0.115351547565283,"Inexact",1
"quantBoosting",0.319,0.113,0.101136913401064,0.035289239062824,"Inexact",1
"quantBoosting",0.318,0.11012,0.214476056654985,0.392731097395309,"Inexact",1
"quantBoosting",0.3196,0.0994,0.0651319183021289,0.0763544064278107,"Inexact",1
"quantBoosting",0.314,0.0996,0.0762817553078787,0.0522122861613148,"Inexact",1
"quantBoosting",0.3242,0.10856,0.191083632128957,0.0991792523005174,"Inexact",1
"quantBoosting",0.3176,0.098,0.0991265394610947,0.14866394275629,"Inexact",1
"quantBoosting",0.3126,0.09588,0.0483155496325205,0.03594654913094,"Inexact",1
"quantBoosting",0.3248,0.12,0.0458303689103987,0.367199837756938,"Inexact",1
"quantBoosting",0.3186,0.1046,0.0504846391898768,0.0412402092039739,"Inexact",1
"quantBoosting",0.3216,0.09152,0.132042957938858,0.0788560186092201,"Inexact",1
"quantBoosting",0.3122,0.09972,0.502292796483425,0.0619935061275626,"Inexact",1
"quantBoosting",0.326,0.1106,0.348985157701705,0.648300282620043,"Inexact",1
"quantBoosting",0.326,0.11072,0.045307982087663,0.121919203741996,"Inexact",1
"quantBoosting",0.319,0.09688,0.200691062344069,0.0719563590998849,"Inexact",1
"quantBoosting",0.3204,0.09768,0.270255461954661,0.108574755153757,"Inexact",1
"quantBoosting",0.3114,0.08928,0.129307697676042,0.259184171958964,"Inexact",1
"quantBoosting",0.3166,0.10132,0.230558201562202,0.0636987131748039,"Inexact",1
"quantBoosting",0.3196,0.10612,0.159353517965143,0.160872546600643,"Inexact",1
"quantBoosting",0.3076,0.0966,0.0734619314785895,0.292062252629665,"Inexact",1
"quantBoosting",0.3192,0.0976,0.471194033841996,0.103433714861091,"Inexact",1
"quantBoosting",0.3226,0.1082,0.0534606100774892,0.10324922315906,"Inexact",1
"quantBoosting",0.3198,0.10524,0.0568777339028013,0.0495473344033527,"Inexact",1
"quantBoosting",0.318,0.09964,0.590069444444444,0.156388888888889,"Inexact",1
"quantBoosting",0.3128,0.1036,0.0934936657706995,0.0728051105399762,"Inexact",1
"quantBoosting",0.3256,0.113,0.130300926010465,0.15933564179445,"Inexact",1
"quantBoosting",0.322,0.10336,0.122586218812634,0.0635669362084457,"Inexact",1
"quantBoosting",0.3144,0.09448,0.0830476882424934,0.191506329168667,"Inexact",1
"quantBoosting",0.3156,0.10324,0.117480757355212,0.0664849918397952,"Inexact",1
"quantBoosting",0.3252,0.10392,0.0526273136131556,0.0710826550467979,"Inexact",1
"quantBoosting",0.3064,0.09408,0.076343259643055,0.0539832809318567,"Inexact",1
"quantBoosting",0.3114,0.08704,0.0863509869485492,0.0795383453780606,"Inexact",1
"quantBoosting",0.3176,0.10032,0.153520908507294,0.0581002479357138,"Inexact",1
"quantBoosting",0.3168,0.10632,0.111671196771271,0.0739850614923769,"Inexact",1
"quantBoosting",0.3166,0.10588,0.0517280116164653,0.126302709052341,"Inexact",1
"quantBoosting",0.3168,0.1054,0.0686505960916364,0.0813571362392169,"Inexact",1
"quantBoosting",0.3182,0.10256,0.0770867439206255,0.267841938421053,"Inexact",1
"quantBoosting",0.3066,0.09428,0.10014798852731,0.288104803270479,"Inexact",1
"quantBoosting",0.3066,0.08676,0.35669453936103,0.158322975295288,"Inexact",1
"quantBoosting",0.323,0.10744,0.0676519489861561,0.139146643851926,"Inexact",1
"quantBoosting",0.3198,0.10728,0.062915182632803,0.0636898557265165,"Inexact",1
"quantBoosting",0.3184,0.10176,0.039032498956233,0.297070278934795,"Inexact",1
"quantBoosting",0.314,0.09972,0.130296883085947,0.256305094003438,"Inexact",1
"quantBoosting",0.3142,0.09632,0.0472514259739878,0.143541763983413,"Inexact",1
"quantBoosting",0.3094,0.09548,0.179290206648697,0.0557087566521529,"Inexact",1
"quantBoosting",0.324,0.11112,0.0768054219807338,0.182007889254831,"Inexact",1
"quantBoosting",0.3336,0.11076,0.168182903755767,0.0597010610906583,"Inexact",1
"quantBoosting",0.3052,0.0962,0.0460660331739119,0.0912189681700827,"Inexact",1
"quantBoosting",0.3182,0.1126,0.156644524128178,0.130591312227158,"Inexact",1
"quantBoosting",0.303,0.09508,0.176835292848668,0.169034624096645,"Inexact",1
"quantBoosting",0.3134,0.10116,0.127515058662148,0.244256947266076,"Inexact",1
"quantBoosting",0.3206,0.10492,0.334612886460626,0.130261605454648,"Inexact",1
"quantBoosting",0.3212,0.09596,0.14532147242415,0.48729366786539,"Inexact",1
"quantBoosting",0.3154,0.10288,0.0752381125452653,0.195138708813886,"Inexact",1
"quantBoosting",0.3226,0.10984,0.0657743645850275,0.118775657909096,"Inexact",1
"quantBoosting",0.3136,0.10476,0.0328010689833728,0.0880571427486127,"Inexact",1
"quantBoosting",0.3148,0.10944,0.0812236002189845,0.106524825051164,"Inexact",1
"quantBoosting",0.3102,0.09668,0.229243800289005,0.10572330261977,"Inexact",1
"quantBoosting",0.3248,0.10608,0.0763587055684985,0.0925905199876172,"Inexact",1
"quantBoosting",0.3264,0.10908,0.0481115718159434,0.0465258793322642,"Inexact",1
"quantBoosting",0.325,0.1078,0.129065018198807,0.127657956619826,"Inexact",1
"quantBoosting",0.3176,0.1008,0.0957505455619652,0.052533092571828,"Inexact",1
"quantBoosting",0.3146,0.1006,0.270600043675613,0.225513584562255,"Inexact",1
"quantBoosting",0.3198,0.10836,0.127773803978974,0.0989420453789341,"Inexact",1
"quantBoosting",0.3156,0.09484,0.139452417678224,0.180258422193906,"Inexact",1
"quantBoosting",0.3192,0.10156,0.238101293960981,0.114602547226545,"Inexact",1
"quantBoosting",0.3254,0.10656,0.1309580099371,0.167244805184526,"Inexact",1
"quantBoosting",0.3206,0.10268,0.0892818179890576,0.214438537056151,"Inexact",1
"quantBoosting",0.3234,0.10508,0.0570189048829955,0.189170151562011,"Inexact",1
"quantBoosting",0.3184,0.10684,0.139629114399741,0.307618535836343,"Inexact",1
"quantBoosting",0.312,0.09796,0.117572442265872,0.223383232722449,"Inexact",1
"quantBoosting",0.316,0.10864,0.0344456410371859,0.0983529427368421,"Inexact",1
"quantBoosting",0.3136,0.0884,0.086839609346229,0.0534817247085562,"Inexact",1
"quantBoosting",0.3088,0.10428,0.0692299736256917,0.0950750719691093,"Inexact",1
"quantBoosting",0.3164,0.09908,0.118211020355994,0.131138076740399,"Inexact",1
"quantBoosting",0.3214,0.10372,0.504567453304875,0.0757842562475181,"Inexact",1
"quantBoosting",0.3144,0.09736,0.117966713067303,0.317140063635158,"Inexact",1
"quantBoosting",0.326,0.10804,0.0471030140671303,0.10186098946304,"Inexact",1
"quantBoosting",0.3146,0.10224,0.145897733944911,0.0496788800888036,"Inexact",1
"quantBoosting",0.32,0.10616,0.171066654359009,0.0604131177255448,"Inexact",1
"quantBoosting",0.3174,0.09308,0.274607439458441,0.216567799567311,"Inexact",1
"quantBoosting",0.323,0.10548,0.0668526958990396,0.0979509060261273,"Inexact",1
