"method","coverage","length","KS_lo","KS_up","type","exprid"
"quantBoosting",0.313,0.09748,0.170306112930166,0.09631741331952,"Naive",3
"quantBoosting",0.326,0.11044,0.0574231948565177,0.0902520253006603,"Naive",3
"quantBoosting",0.317,0.09968,0.49714569543754,0.0382819936687844,"Naive",3
"quantBoosting",0.3232,0.11052,0.0579843889796872,0.110803323131412,"Naive",3
"quantBoosting",0.3092,0.08132,0.035565347729547,0.142130828598302,"Naive",3
"quantBoosting",0.327,0.11036,0.142463278330014,0.0963880143994668,"Naive",3
"quantBoosting",0.3236,0.1042,0.0218685658704944,0.205138445633389,"Naive",3
"quantBoosting",0.3172,0.10452,0.226260708830496,0.128600048701658,"Naive",3
"quantBoosting",0.3112,0.09856,0.233884491878001,0.0518012066481094,"Naive",3
"quantBoosting",0.319,0.10432,0.436241443100743,0.426294174219924,"Naive",3
"quantBoosting",0.3252,0.10344,0.424934678082398,0.388476654140355,"Naive",3
"quantBoosting",0.3158,0.10316,0.0733476281368005,0.527021723143535,"Naive",3
"quantBoosting",0.3218,0.10932,0.167873448958196,0.0449230824692435,"Naive",3
"quantBoosting",0.3138,0.10084,0.19843815451003,0.0817523523630792,"Naive",3
"quantBoosting",0.3144,0.0992,0.0910987634962553,0.193460801152858,"Naive",3
"quantBoosting",0.314,0.09312,0.241122191380712,0.0871011224412594,"Naive",3
"quantBoosting",0.3084,0.08728,0.140083448782301,0.331553505899888,"Naive",3
"quantBoosting",0.3228,0.11312,0.046319159043705,0.128214901232931,"Naive",3
"quantBoosting",0.3182,0.10464,0.178328119943911,0.139635422284543,"Naive",3
"quantBoosting",0.3202,0.10668,0.303371804551828,0.13886312156186,"Naive",3
"quantBoosting",0.3234,0.10308,0.186203771697122,0.0652274441743325,"Naive",3
"quantBoosting",0.3232,0.10824,0.147384027154618,0.0420723169425911,"Naive",3
"quantBoosting",0.32,0.10288,0.0784795825336058,0.0401216483048537,"Naive",3
"quantBoosting",0.3168,0.10876,0.097031160551966,0.0672084325621671,"Naive",3
"quantBoosting",0.3256,0.10344,0.0488170353078944,0.0641951210629418,"Naive",3
