"method","coverage","length","KS_lo","KS_up","type","exprid"
"quantBoosting",0.3196,0.09564,0.0957889019404113,0.147008709283249,"Exact",2
"quantBoosting",0.3274,0.11508,0.113903775748754,0.088702251775396,"Exact",2
"quantBoosting",0.3106,0.11408,0.0654917403975396,0.122703408333001,"Exact",2
"quantBoosting",0.3246,0.11052,0.149132089858005,0.197520370200586,"Exact",2
"quantBoosting",0.3158,0.09832,0.358049853412201,0.177299367272274,"Exact",2
"quantBoosting",0.32,0.09704,0.0668490559243964,0.478587611933271,"Exact",2
"quantBoosting",0.312,0.09896,0.100994040321694,0.0472006660125472,"Exact",2
"quantBoosting",0.3212,0.1038,0.131678240136445,0.108365965296994,"Exact",2
"quantBoosting",0.3288,0.1134,0.232862494571348,0.265747564075298,"Exact",2
"quantBoosting",0.3208,0.11084,0.0756829937335875,0.0713799178164643,"Exact",2
"quantBoosting",0.3142,0.08972,0.161979166666667,0.106215277777778,"Exact",2
"quantBoosting",0.3188,0.10128,0.0616154480809932,0.135528737503484,"Exact",2
"quantBoosting",0.3168,0.10244,0.174579574669643,0.0627760535184306,"Exact",2
"quantBoosting",0.3206,0.09692,0.0862792812555463,0.03607037780278,"Exact",2
"quantBoosting",0.3148,0.09608,0.0496216234852011,0.172779300477496,"Exact",2
"quantBoosting",0.3158,0.10064,0.0703000927713329,0.124527633982882,"Exact",2
"quantBoosting",0.3254,0.10516,0.0851340188379051,0.283919037471415,"Exact",2
"quantBoosting",0.3166,0.1086,0.0789791969037252,0.0761282742414818,"Exact",2
"quantBoosting",0.3146,0.09536,0.077150709747284,0.0646266565878263,"Exact",2
"quantBoosting",0.3276,0.10584,0.161329524012867,0.0339935038406733,"Exact",2
"quantBoosting",0.3222,0.10788,0.0384304374870413,0.118273550349022,"Exact",2
"quantBoosting",0.318,0.09836,0.193200935284771,0.0545637670460315,"Exact",2
"quantBoosting",0.32,0.1102,0.280671530383711,0.0759981717844946,"Exact",2
"quantBoosting",0.326,0.11304,0.0715333171602476,0.121790577849873,"Exact",2
"quantBoosting",0.3206,0.10796,0.114413755895508,0.127040150368089,"Exact",2
"quantBoosting",0.3082,0.08968,0.0820527877023511,0.071869072824313,"Exact",2
"quantBoosting",0.317,0.10936,0.0561230881246578,0.329859964799138,"Exact",2
